Recencia,Frequencia,Quantidade,Tempo,Doou
2,50,12500,98,1
0,13,3250,28,1
1,16,4000,35,1
2,20,5000,45,1
1,24,6000,77,0
23,2,500,38,0
21,2,500,52,0
23,3,750,62,0
39,1,250,39,0
72,1,250,72,0
7,32,8000,42,1
12,27,6750,10,1
10,6,1500,31,0
4,30,7500,55,1
1,30,7500,96,0
10,26,6500,9,1
6,8,2000,9,0
9,17,4250,14,0
0,35,8750,101,1
7,42,10500,91,1
3,32,8000,87,1
9,30,7500,107,1
7,37,9250,7,0
2,30,7500,4,1
9,19,4750,111,1
3,7,1750,114,0
5,25,6250,40,0
6,31,7750,23,0
12,48,12000,39,1
7,47,11750,14,1
2,20,5000,113,0
9,5,1250,94,1
2,41,10250,77,1
3,46,11500,85,0
10,13,3250,9,0
6,45,11250,57,1
3,32,8000,91,1
10,37,9250,108,0
8,41,10250,9,1
8,50,12500,17,0
12,14,3500,98,0
8,36,9000,72,1
9,17,4250,111,1
6,3,750,89,1
0,21,5250,4,0
12,34,8500,74,0
7,39,9750,109,1
3,30,7500,39,1
7,45,11250,54,0
6,19,4750,3,0
11,35,8750,89,0
12,26,6500,4,1
8,18,4500,64,0
10,29,7250,108,1
6,29,7250,81,1
12,10,2500,57,0
2,12,3000,19,0
8,3,750,32,0
2,6,1500,44,0
2,32,8000,107,0
3,33,8250,69,1
3,41,10250,79,1
9,39,9750,36,0
12,6,1500,40,1
10,19,4750,65,0
11,37,9250,15,0
1,16,4000,69,1
10,50,12500,112,1
11,6,1500,44,1
2,30,7500,27,1
3,34,8500,110,0
1,9,2250,70,0
7,27,6750,12,0
10,20,5000,30,1
6,5,1250,120,1
11,33,8250,1,0
7,17,4250,32,0
6,47,11750,103,1
5,13,3250,66,0
5,26,6500,77,0
2,22,5500,11,0
0,47,11750,65,1
7,2,500,16,1
4,11,2750,22,1
5,44,11000,35,0
11,21,5250,102,1
5,34,8500,98,1
10,33,8250,22,0
2,23,5750,15,1
10,2,500,23,0
11,15,3750,59,1
2,24,6000,14,0
0,44,11000,43,1
5,30,7500,86,1
1,47,11750,96,1
5,31,7750,4,0
7,48,12000,66,0
3,48,12000,75,0
9,34,8500,86,1
10,28,7000,79,1
6,31,7750,80,0
5,44,11000,110,1
2,20,5000,108,1
4,49,12250,38,1
0,14,3500,88,0
12,48,12000,103,1
4,34,8500,63,1
11,33,8250,105,1
7,1,250,111,1
0,39,9750,52,1
6,31,7750,72,1
3,22,5500,70,1
2,45,11250,46,1
0,38,9500,70,0
12,13,3250,75,0
12,19,4750,74,0
7,3,750,7,1
1,30,7500,115,0
11,41,10250,90,0
1,1,250,93,0
6,43,10750,8,1
10,37,9250,54,0
0,39,9750,100,1
8,3,750,95,0
10,14,3500,96,0
11,14,3500,13,1
11,29,7250,68,0
2,42,10500,90,1
10,6,1500,33,0
8,35,8750,117,1
9,43,10750,9,1
11,47,11750,73,1
1,42,10500,67,0
7,23,5750,83,0
11,45,11250,94,1
0,21,5250,35,1
2,45,11250,120,0
3,22,5500,33,0
12,44,11000,111,1
6,10,2500,108,1
2,41,10250,47,0
1,7,1750,71,0
7,43,10750,31,0
5,8,2000,4,0
0,41,10250,59,0
9,33,8250,24,0
7,29,7250,69,0
12,29,7250,51,1
1,40,10000,2,1
1,45,11250,70,0
10,44,11000,120,0
7,49,12250,114,1
9,22,5500,110,1
1,14,3500,70,0
8,31,7750,18,1
3,44,11000,82,1
0,49,12250,37,1
11,36,9000,77,1
4,23,5750,68,1
10,41,10250,20,0
5,23,5750,83,1
1,12,3000,73,1
0,50,12500,31,0
7,20,5000,53,1
9,39,9750,66,0
7,12,3000,119,1
11,3,750,31,1
1,7,1750,25,0
11,9,2250,2,1
10,10,2500,30,1
6,12,3000,76,0
4,26,6500,76,1
5,30,7500,84,0
5,28,7000,112,1
4,3,750,57,0
1,22,5500,27,0
10,15,3750,62,1
8,14,3500,1,1
6,36,9000,12,0
3,6,1500,82,1
0,28,7000,73,1
9,41,10250,2,0
5,46,11500,56,0
8,36,9000,32,0
3,3,750,77,0
7,43,10750,99,1
4,27,6750,106,1
1,1,250,42,1
9,50,12500,102,1
1,30,7500,86,1
5,34,8500,77,1
8,28,7000,118,0
4,5,1250,72,0
9,9,2250,15,0
8,6,1500,14,1
12,39,9750,60,1
4,21,5250,67,0
1,36,9000,84,0
6,36,9000,71,1
5,27,6750,14,0
12,16,4000,10,0
3,28,7000,84,0
8,30,7500,38,0
7,47,11750,95,0
12,26,6500,92,1
12,9,2250,84,0
5,7,1750,25,1
9,20,5000,95,0
11,35,8750,93,0
5,36,9000,55,1
2,36,9000,67,1
10,36,9000,17,1
4,40,10000,88,1
0,38,9500,89,1
12,33,8250,44,0
10,33,8250,114,0
8,47,11750,73,0
5,43,10750,40,0
12,33,8250,108,1
1,43,10750,89,1
11,20,5000,60,0
7,36,9000,35,0
11,28,7000,31,1
11,40,10000,68,0
11,45,11250,89,1
2,24,6000,3,1
11,49,12250,58,0
0,42,10500,80,1
8,7,1750,84,0
8,48,12000,15,1
2,37,9250,40,1
4,19,4750,103,1
11,46,11500,60,1
12,8,2000,6,1
0,45,11250,69,1
8,46,11500,5,1
11,27,6750,55,1
12,2,500,114,0
12,34,8500,49,1
8,34,8500,120,1
6,9,2250,26,1
11,49,12250,43,1
12,48,12000,92,1
11,47,11750,2,1
1,21,5250,118,0
8,50,12500,66,0
0,17,4250,73,1
1,16,4000,15,0
12,29,7250,53,0
6,42,10500,114,1
6,33,8250,107,0
4,49,12250,102,0
3,20,5000,87,0
2,1,250,75,1
12,31,7750,70,0
10,16,4000,93,1
2,43,10750,1,0
5,17,4250,12,1
4,37,9250,31,1
5,14,3500,39,0
11,28,7000,67,0
10,3,750,49,1
7,18,4500,28,1
6,24,6000,99,0
8,21,5250,120,0
11,38,9500,70,0
1,5,1250,115,0
9,40,10000,42,1
8,30,7500,106,1
10,17,4250,71,1
0,18,4500,62,1
9,44,11000,10,1
9,17,4250,70,1
5,6,1500,15,0
8,28,7000,114,1
2,14,3500,41,1
12,45,11250,43,1
1,27,6750,115,0
2,41,10250,14,1
6,21,5250,73,1
8,19,4750,26,1
5,19,4750,12,0
0,6,1500,35,1
1,29,7250,115,1
7,21,5250,72,0
10,15,3750,59,0
7,17,4250,44,1
11,33,8250,119,0
0,3,750,28,1
0,3,750,16,0
7,16,4000,120,1
9,32,8000,97,0
11,9,2250,37,1
10,30,7500,88,0
4,12,3000,119,0
5,47,11750,78,0
9,4,1000,29,0
9,16,4000,49,1
1,27,6750,26,1
11,43,10750,29,0
9,42,10500,49,0
0,13,3250,103,1
7,14,3500,72,0
0,28,7000,9,1
0,31,7750,63,1
5,48,12000,68,1
6,12,3000,16,1
0,50,12500,24,0
11,20,5000,86,1
11,39,9750,26,0
2,10,2500,36,0
1,3,750,15,0
2,13,3250,72,0
11,38,9500,95,1
4,35,8750,20,1
12,2,500,14,1
0,12,3000,25,0
6,31,7750,97,0
2,29,7250,91,0
12,31,7750,86,0
8,25,6250,116,1
11,3,750,69,0
11,33,8250,52,0
2,46,11500,95,0
8,19,4750,98,0
3,20,5000,25,1
4,12,3000,7,0
2,18,4500,25,0
4,42,10500,114,0
3,49,12250,106,0
5,21,5250,92,1
8,7,1750,102,1
8,46,11500,54,1
1,24,6000,39,1
0,27,6750,67,0
4,14,3500,90,1
12,34,8500,17,1
4,32,8000,66,0
4,23,5750,104,1
9,19,4750,58,0
1,47,11750,7,0
4,22,5500,118,0
0,14,3500,77,0
2,16,4000,4,0
7,45,11250,82,1
5,35,8750,15,0
9,15,3750,64,0
3,30,7500,98,1
9,39,9750,52,0
3,16,4000,65,0
9,21,5250,84,0
8,2,500,94,1
3,2,500,102,1
7,14,3500,73,1
1,41,10250,5,1
3,44,11000,90,0
1,15,3750,35,1
2,49,12250,3,0
2,39,9750,74,1
5,32,8000,73,1
12,23,5750,73,1
1,27,6750,69,1
6,10,2500,71,1
5,31,7750,43,0
12,10,2500,112,1
2,13,3250,69,0
0,25,6250,59,1
4,50,12500,20,1
2,46,11500,1,0
1,41,10250,64,0
2,35,8750,117,0
6,46,11500,61,0
11,6,1500,43,0
5,7,1750,40,0
10,13,3250,17,1
2,6,1500,16,1
5,11,2750,85,1
3,24,6000,97,1
0,44,11000,73,1
12,11,2750,72,1
12,28,7000,12,1
7,29,7250,36,1
3,18,4500,80,0
10,44,11000,49,1
0,6,1500,30,0
8,29,7250,33,0
6,6,1500,72,0
1,14,3500,51,0
3,17,4250,64,0
1,15,3750,6,0
10,3,750,107,1
0,37,9250,44,0
4,35,8750,1,0
10,47,11750,43,1
10,42,10500,89,1
7,23,5750,70,0
10,1,250,66,0
2,27,6750,75,1
4,15,3750,12,1
11,26,6500,39,1
1,4,1000,22,1
9,41,10250,98,0
6,11,2750,98,1
1,37,9250,7,1
0,34,8500,8,1
12,18,4500,95,0
7,8,2000,56,0
2,12,3000,99,1
10,41,10250,115,1
1,48,12000,68,0
1,27,6750,105,0
12,21,5250,40,1
1,34,8500,89,1
2,2,500,53,1
9,26,6500,7,0
2,31,7750,80,0
4,37,9250,28,1
0,21,5250,19,1
1,36,9000,50,1
10,27,6750,119,0
8,48,12000,65,0
1,25,6250,4,1
9,22,5500,24,1
